personname,finalworth_2022,finalworth_2018,selfmade,age,category,country,gender
Fredrik Lundberg,6000,4000,False,70,Real Estate,Sweden,M
John Morris,6000,4000,True,74,Fashion & Retail,United States,M
Stephen Bisciotti,5900,4000,True,61,Sports,United States,M
Barry Lam,5900,3000,True,72,Technology,Taiwan,M
Michael Moritz,5900,4000,True,67,Technology,United States,M
Teh Hong Piow,5900,6000,True,92,Finance & Investments,Malaysia,M
Andre Esteves,5800,2000,True,53,Finance & Investments,Brazil,M
Joshua Harris,5800,3000,True,57,Finance & Investments,United States,M
Rakesh Jhunjhunwala,5800,3000,True,61,Finance & Investments,India,M
Ludwig Merckle,5800,6000,False,57,Finance & Investments,Germany,M
Sandra Ortega Mera,5800,6000,False,53,Fashion & Retail,Spain,F
Terrence Pegula,5800,4000,True,71,Energy,United States,M
Karen Pritzker,5800,5000,False,64,Finance & Investments,United States,F
Mitchell Rales,5800,3000,True,65,Manufacturing,United States,M
Wolfgang Reimann,5800,4000,False,69,Fashion & Retail,Germany,M
Matthias Reimann-Andersen,5800,4000,False,57,Fashion & Retail,Germany,M
Stefan Reimann-Andersen,5800,4000,False,58,Fashion & Retail,Austria,M
Renate Reimann-Haas,5800,4000,False,70,Fashion & Retail,Austria,F
Charles Simonyi,5800,2000,True,73,Technology,United States,M
Radovan Vitek,5800,2000,True,50,Real Estate,Switzerland,M
Aloys Wobben,5800,6000,True,70,Energy,Germany,M
Sam Zell,5800,4000,True,80,Real Estate,United States,M
Rainer Blickle,5700,4000,False,74,Manufacturing,Germany,M
Clive Calder,5700,4000,True,75,Media & Entertainment,Cayman Islands,M
Frits Goldschmeding,5700,5000,True,88,Service,Netherlands,M
Ananda Krishnan,5700,7000,True,84,Telecom,Malaysia,M
Joe Mansueto,5700,2000,True,65,Finance & Investments,United States,M
Antony Ressler,5700,2000,True,60,Finance & Investments,United States,M
Tse Ping,5700,3000,True,70,Healthcare,Hong Kong,M
Tilman Fertitta,5600,4000,True,64,Food & Beverage,United States,M
Prajogo Pangestu,5600,2000,False,77,Diversified,Indonesia,M
"Edward Roski, Jr.",5600,5000,False,83,Real Estate,United States,M
Teddy Sagi,5600,3000,True,50,Gambling & Casinos,Israel,M
Thomas Straumann,5600,2000,False,58,Healthcare,Switzerland,M
David Sun,5600,5000,True,70,Technology,United States,M
John Tu,5600,5000,True,80,Technology,United States,M
Alexander Abramov,5500,5000,True,63,Metals & Mining,Russia,M
Neil Bluhm,5500,3000,True,84,Real Estate,United States,M
Don Hankey,5500,2000,True,78,Finance & Investments,United States,M
Jane Lauder,5500,2000,False,49,Fashion & Retail,United States,F
Gwendolyn Sontheim Meyer,5500,4000,False,60,Food & Beverage,United States,F
John Reece,5500,5000,True,65,Manufacturing,United Kingdom,M
