rank,personName,age,finalWorth,category,country,gender_F,gender_M
480,Richard Li,51,4000,18,1,0,1
480,John Morris,69,4000,17,20,0,1
480,Theo Mueller,78,4000,16,62,0,1
480,Akio Nitori,74,4000,17,27,0,1
480,Wolfgang Reimann,65,4000,17,62,0,1
480,Matthias Reimann-Andersen,52,4000,17,62,0,1
480,Stefan Reimann-Andersen,54,4000,17,62,0,1
480,Renate Reimann-Haas,66,4000,17,62,1,0
480,Robert Smith,55,4000,10,20,0,1
480,Russ Weiner,47,4000,16,20,0,1
499,Jeronimo Arango,92,4000,17,37,0,1
499,Rahul Bajaj,79,4000,7,44,0,1
499,Rainer Blickle,70,4000,12,62,0,1
499,Rocco Commisso,68,4000,18,20,0,1
499,Giuseppe De'Longhi,78,4000,17,48,0,1
499,Tilman Fertitta,60,4000,16,20,0,1
499,Nathan Kirsh,86,4000,17,64,0,1
499,Terrence Pegula,66,4000,2,20,0,1
499,Robert Pera,39,4000,8,20,0,1
499,Gary Rollins,73,4000,11,20,0,1
499,Randall Rollins,86,4000,11,20,0,1
499,Alejandro Santo Domingo,41,4000,16,20,0,1
499,Andres Santo Domingo,39,4000,16,20,0,1
499,Pham Nhat Vuong,49,4000,13,59,0,1
499,Roger Wang,69,4000,17,20,0,1
514,Stephen Bisciotti,57,4000,9,20,0,1
514,"Austen Cargill, II.",67,4000,16,20,0,1
514,"James Cargill, II.",68,4000,16,20,0,1
514,Archie Aldis Emmerson,88,4000,12,20,0,1
514,Antti Herlin,61,4000,12,10,0,1
514,Sumet Jiaravanon,83,4000,13,54,0,1
514,Lars Larsen,69,4000,17,57,0,1
514,Marianne Liebmann,64,4000,16,20,1,0
514,Bobby Murphy,29,4000,8,20,0,1
514,Igor Olenicoff,75,4000,14,20,0,1
514,"Walter Scott, Jr.",86,4000,2,20,0,1
514,"Clemmie Spangler, Jr.",85,4000,10,20,0,1
514,Wang Yusuo,53,4000,2,26,0,1
527,Carl Bennet,66,4000,10,18,0,1
527,Arthur Blank,75,4000,9,20,0,1
527,Jaran Chiaravanont,87,4000,13,54,0,1
527,Fan Hongwei,51,4000,2,26,1,0
527,John Gandel,83,4000,14,65,0,1
527,James Jannard,68,4000,17,20,0,1
527,Montri Jiaravanont,86,4000,13,54,0,1
527,Samuel Tak Lee,78,4000,14,1,0,1
527,Pawan Munjal,64,4000,7,44,0,1
527,Axel Oberwelland,51,4000,16,62,0,1
527,James Packer,50,4000,4,65,0,1
527,Isaac Perlmutter,75,4000,5,20,0,1
527,"H. Ross Perot, Sr.",87,4000,13,20,0,1
527,Michael Pieper,72,4000,12,70,0,1
527,Thomas Pritzker,67,4000,10,20,0,1
527,"Julian Robertson, Jr.",85,4000,10,20,0,1
527,Renzo Rosso,62,4000,17,48,0,1
527,Hussain Sajwani,65,4000,14,55,0,1
527,Yasumitsu Shigeta,53,4000,18,27,0,1
527,Evan Spiegel,27,4000,8,20,0,1
527,Wang Xing,45,4000,8,26,0,1
527,Kelcy Warren,62,4000,2,20,0,1
550,Ben Ashkenazy,48,4000,14,20,0,1
550,Otto Philipp Braun,40,4000,1,62,0,1
550,Che Jianxing,51,4000,17,26,0,1
550,Dagmar Dolby,76,4000,8,20,1,0
550,Traudl Engelhorn,91,4000,1,62,1,0
550,Dan Friedkin,53,4000,7,20,0,1
550,Sergei Galitsky,50,4000,17,35,0,1
550,Huang Rulun,66,4000,14,26,0,1
550,Erman Ilicak,50,4000,3,13,0,1
550,Ronald Lauder,74,4000,17,20,0,1
550,Michel Leclercq,78,4000,17,36,0,1
550,Michael Moritz,63,4000,8,20,0,1
550,Issad Rebrab,74,4000,16,15,0,1
550,Naguib Sawiris,63,4000,18,68,0,1
550,Richard Schulze,77,4000,17,20,0,1
550,B.R. Shetty,76,4000,1,44,0,1
550,Jeff Sutton,58,4000,14,20,0,1
550,Tony Tan Caktiong,65,4000,16,45,0,1
550,Yu Huijiao,51,4000,6,26,0,1
550,Zhang Xuexin,70,4000,0,26,0,1
550,Zhang Yiming,34,4000,8,26,0,1
572,Suhail Bahwan,79,3000,13,66,0,1
572,Rick Caruso,59,3000,14,20,0,1
572,Tom Gores,53,3000,10,20,0,1
572,Peter Hargreaves,71,3000,10,3,0,1
572,Daniela Herz,64,3000,10,62,1,0
572,Guenter Herz,77,3000,10,62,0,1
572,Masatoshi Ito,93,3000,17,27,0,1
572,Barry Lam,68,3000,8,24,0,1
572,Ravi Pillai,64,3000,3,44,0,1
572,Jerry Speyer,77,3000,14,20,0,1
572,Harry Stine,76,3000,16,20,0,1
572,George Ty,85,3000,10,45,0,1
572,Steven Udvar-Hazy,72,3000,11,20,0,1
572,Christoph Zeller,60,3000,1,7,0,1
588,Nathan Blecharczyk,34,3000,8,20,0,1
588,Hubert Burda,78,3000,5,62,0,1
588,Chen Dongsheng,60,3000,10,26,0,1
588,Brian Chesky,36,3000,8,20,0,1
588,Gustaf Douglas,80,3000,13,18,0,1
588,Joe Gebbia,36,3000,8,20,0,1
