Rank,Name,Age,Source,Industry,Gender,Continent,Country,Headquarters,State,Net Worth,Title
287.0,Les Wexner,80.0,retail,Fashion & Retail,Male,North America,United States,OH,Ohio,6.1,"Chairman and CEO, L Brands"
289.0,Benu Gopal Bangur,86.0,cement,Manufacturing,Male,Asia,India,,,6.0,
289.0,David Cheriton,66.0,Google,Technology,Male,North America,Canada,CA,California,6.0,"Professor, Stanford University"
289.0,Ma Jianrong,54.0,"textiles, apparel",Fashion & Retail,Male,Asia,China,,,6.0,
289.0,Whitney MacMillan,88.0,Cargill,Food and Beverage,Male,North America,United States,MN,Minnesota,6.0,
289.0,Dan Olsson,71.0,diversified,Diversified,Male,Europe,Sweden,,,6.0,
289.0,Vivek Chaand Sehgal,61.0,auto parts,Automotive,Male,Oceania,Australia,,,6.0,
289.0,Teh Hong Piow,87.0,banking,Finance and Investments,Male,Asia,Malaysia,,,6.0,
296.0,Abdulla bin Ahmad Al Ghurair,,diversified,Diversified,Male,Asia,United Arab Emirates,,,5.9,
296.0,Maria Asuncion Aramburuzabala,54.0,"beer, investments",Food and Beverage,Female,North America,Mexico,,,5.9,
296.0,Ralph Dommermuth,54.0,internet service provider,Technology,Male,Europe,Germany,,,5.9,
296.0,Frank Lowy,87.0,shopping malls,Real Estate,Male,Oceania,Australia,,,5.9,
296.0,Wolfgang Marguerre,76.0,pharmaceuticals,Healthcare,Male,Europe,Germany,,,5.9,
296.0,Marijke Mars,53.0,"candy, pet food",Food and Beverage,Female,North America,United States,,,5.9,
296.0,Pamela Mars,57.0,"candy, pet food",Food and Beverage,Female,North America,United States,,,5.9,
296.0,Valerie Mars,59.0,"candy, pet food",Food and Beverage,Female,North America,United States,NY,New York,5.9,
296.0,Victoria Mars,61.0,"candy, pet food",Food and Beverage,Female,North America,United States,PA,Pennsylvania,5.9,
305.0,David & Frederick Barclay,84.0,"media, retail",Diversified,Male,Europe,United Kingdom,,,5.8,
305.0,"John Gokongwei, Jr.",91.0,food and beverage,Diversified,Male,Asia,Philippines,,,5.8,
305.0,Kwon Hyuk-Bin,44.0,online games,Technology,Male,Asia,South Korea,,,5.8,Smilegate Holdings
305.0,Nancy Walton Laurie,66.0,Walmart,Fashion & Retail,Female,North America,United States,NV,Nevada,5.8,
305.0,Lin Yu-Ling,81.0,real estate,Real Estate,Male,Asia,Taiwan,,,5.8,
305.0,Tom & Judy Love,81.0,retail & gas stations,Fashion & Retail,,North America,United States,OK,Oklahoma,5.8,"Chairman and CEO, Love's Travel Stops and Country Stores"
305.0,Robert Rowling,64.0,investments,Energy,Male,North America,United States,TX,Texas,5.8,
305.0,Dennis Washington,83.0,"construction, mining",Logistics,Male,North America,United States,MT,Montana,5.8,
305.0,Yao Liangsong,53.0,furniture,Manufacturing,Male,Asia,China,,,5.8,
305.0,Zhang Jindong,54.0,appliance retailer,Fashion & Retail,Male,Asia,China,,,5.8,
315.0,Juan Francisco Beckmann Vidal,78.0,tequila,Food and Beverage,Male,North America,Mexico,,,5.7,
315.0,David Sun,66.0,computer hardware,Technology,Male,North America,United States,CA,California,5.7,"COO, Kingston Technology Corporation"
315.0,John Tu,76.0,computer hardware,Technology,Male,North America,United States,CA,California,5.7,"President, Kingston Technology Corporation"
315.0,Martin Viessmann,64.0,heating equipment,Manufacturing,Male,Europe,Germany,,,5.7,
315.0,Stef Wertheimer,91.0,metalworking tools,Manufacturing,Male,Asia,Israel,,,5.7,
315.0,Hansjoerg Wyss,83.0,medical devices,Healthcare,Male,Europe,Switzerland,WY,Wyoming,5.7,
321.0,James Dyson,70.0,vacuums,Manufacturing,Male,Europe,United Kingdom,,,5.6,
321.0,Laurence Graff,79.0,diamond jewelry,Fashion & Retail,Male,Europe,United Kingdom,,,5.6,
321.0,Jen-Hsun Huang,55.0,semiconductors,Technology,Male,North America,United States,CA,California,5.6,
321.0,Charles Johnson,85.0,money management,Finance and Investments,Male,North America,United States,FL,Florida,5.6,"Chairman, Franklin Resources"
321.0,Jerry Jones,75.0,Dallas Cowboys,Sports,Male,North America,United States,TX,Texas,5.6,"President and General Manager, Dallas Cowboys"
321.0,Kei Hoi Pang,52.0,real estate,Real Estate,Male,Asia,China,,,5.6,
321.0,Kwee family,,Real Estate,Real Estate,Male,Asia,Singapore,,,5.6,
321.0,Lee Shin Cheng,79.0,"palm oil, property",Manufacturing,Male,Asia,Malaysia,,,5.6,
321.0,Richard LeFrak,72.0,real estate,Real Estate,Male,North America,United States,NY,New York,5.6,
321.0,Shigenobu Nagamori,73.0,motors,Manufacturing,Male,Asia,Japan,,,5.6,
321.0,Steven Rales,66.0,manufacturing,Manufacturing,Male,North America,United States,CA,California,5.6,"Chairman, Danaher"
321.0,Friede Springer,75.0,publishing,Media & Entertainment,Female,Europe,Germany,,,5.6,
