personname,finalworth_2022,finalworth_2018,selfmade
Peter Hargreaves,3100,3000,True
Lu Weiding,3100,1000,False
Harsh Mariwala,3100,2000,False
Sergei Popov,3100,4000,True
Haim Saban,3100,3000,True
Pat Stryker,3100,3000,False
Jeff Sutton,3100,4000,True
Jon Yarbrough,3100,2000,True
Yi Zheng,3100,1000,True
Zhang Fan,3100,2000,True
William Ackman,3000,1000,True
Markus Blocher,3000,1000,False
Eva Maria Bucher-Haefner,3000,2000,False
Todd Christopher,3000,2000,True
Gudrun Heine,3000,1000,False
Heidi Horten,3000,3000,False
Liang Yunchao,3000,2000,True
Strive Masiyiwa,3000,1000,True
Masahiro Miki,3000,3000,True
Karsanbhai Patel,3000,3000,True
Arvind Poddar,3000,2000,False
Remo Ruffini,3000,1000,True
Eddy Kusnadi Sariaatmadja,3000,1000,True
Sybill Storz,3000,1000,False
Lawrence Stroll,3000,2000,True
Donald Trump,3000,3000,False
John Tyson,3000,2000,False
Rufino Vigil Gonzalez,3000,1000,True
Charles Zegar,3000,2000,True
Mortimer Zuckerman,3000,2000,True
Juan Abello,2900,2000,False
Miriam Baumann-Blocher,2900,1000,False
Nicolas Berggruen,2900,1000,False
Joseph Edelman,2900,1000,True
N. Murray Edwards,2900,1000,True
Jane Goldman,2900,3000,False
Hamilton James,2900,1000,True
Li Zhongchu,2900,2000,True
"Drayton McLane, Jr.",2900,2000,False
Roger Penske,2900,1000,True
Jean Salata,2900,1000,True
Martua Sitorus,2900,1000,True
Zygmunt Solorz-Zak,2900,2000,True
Warren Stephens,2900,2000,False
Frank VanderSloot,2900,2000,True
Zhou Jianping,2900,4000,True
Brian Acton,2800,6000,True
Bill Alfond,2800,1000,False
Susan Alfond,2800,1000,False
Ted Alfond,2800,1000,False
Maurizio Billi,2800,1000,False
Otto Philipp Braun,2800,4000,False
Garrett Camp,2800,4000,True
John Paul DeJoria,2800,3000,True
Beda Diethelm,2800,1000,True
K. Dinesh,2800,1000,True
Bennett Dorrance,2800,2000,False
Marcel Erni,2800,2000,True
Abhay Firodia,2800,2000,False
Alfred Gantner,2800,2000,True
Allan Goldman,2800,3000,False
Amy Goldman Fowler,2800,3000,False
J. Tomilson Hill,2800,1000,True
James Jannard,2800,4000,True
Travis Kalanick,2800,4000,True
Diane Kemper,2800,3000,False
Kwek Leng Beng,2800,2000,False
Angela Leong,2800,3000,False
Sergio Mantegazza,2800,2000,True
Hans Melchers,2800,2000,True
Tom Morris,2800,3000,True
Philip Niarchos,2800,2000,False
Sean Parker,2800,2000,True
Richard Peery,2800,2000,True
Jeff Rothschild,2800,2000,True
Stephen Smith,2800,1000,True
William Stone,2800,1000,True
Sun Hongbin,2800,7000,True
Sun Shoukuan,2800,1000,True
Andrew Tan,2800,2000,True
Kenneth Tuchman,2800,1000,True
Tung Chee Hwa,2800,2000,False
Bulat Utemuratov,2800,2000,True
Urs Wietlisbach,2800,2000,True
Wong Man Li,2800,2000,True
Ben Ashkenazy,2700,4000,True
Yvonne Bauer,2700,3000,False
Giuliana Benetton,2700,3000,True
Luciano Benetton,2700,3000,True
Aneel Bhusri,2700,1000,True
George Bishop,2700,2000,True
Vivek Chand Burman,2700,2000,False
Morris Chang,2700,1000,True
Jack Cockwell,2700,1000,True
"Edward DeBartolo, Jr.",2700,2000,False
Abilio dos Santos Diniz,2700,3000,False
"John Dorrance, III.",2700,2000,False
