rank,personName,age,finalWorth,category,country,gender_F,gender_M
471,Teddy Sagi,50,5600,11,11,0,1
471,Thomas Straumann,58,5600,7,24,0,1
471,David Sun,70,5600,2,49,0,1
471,John Tu,80,5600,2,49,0,1
471,Erich Wesjohann & family,76,5600,10,66,0,1
471,Xu Jinfu,58,5600,3,34,0,1
480,Alexander Abramov,63,5500,14,59,0,1
480,Neil Bluhm,84,5500,12,49,0,1
480,Don Hankey,78,5500,0,49,0,1
480,Jane Lauder,49,5500,15,49,1,0
480,Gwendolyn Sontheim Meyer,60,5500,10,49,1,0
480,John Reece,65,5500,3,35,0,1
480,Eric Smidt,62,5500,15,49,0,1
480,Viktor Vekselberg,64,5500,13,59,0,1
480,Ronald Wanek,80,5500,3,49,0,1
490,Rene Benko,45,5400,12,69,0,1
490,John Brown,87,5400,7,49,0,1
490,Chen Zhiping,46,5400,3,34,0,1
490,Andrew Currie,66,5400,3,35,0,1
490,Jim Davis & family,78,5400,3,49,0,1
490,Charles Dolan & family,95,5400,1,49,0,1
490,Tom Golisano,80,5400,8,49,0,1
490,Hui Wing Mau,71,5400,12,17,0,1
490,Daniel Kretinsky,46,5400,13,28,0,1
490,Massimiliana Landini Aleotti & family,79,5400,7,22,1,0
490,Joe Lewis,85,5400,0,57,0,1
490,Li Chunan,53,5400,3,34,0,1
490,Lin Muqin & family,58,5400,10,34,0,1
490,Shigenobu Nagamori,77,5400,3,9,0,1
490,Kjell Inge Rokke,63,5400,5,31,0,1
490,Wang Wenjing,57,5400,2,34,0,1
490,Chris Xu,38,5400,15,34,0,1
490,Samuel Yin,71,5400,4,63,0,1
490,M.A. Yusuff Ali,66,5400,15,18,0,1
509,Denise Coates,54,5300,11,35,1,0
509,Ken Fisher,71,5300,0,49,0,1
509,Peter Grogg,80,5300,7,24,0,1
509,Dietmar Hopp & family,81,5300,2,66,0,1
509,Sumet Jiaravanon,87,5300,4,13,0,1
509,Nathan Kirsh,90,5300,15,19,0,1
509,Forrest Li,44,5300,1,52,0,1
509,Rudolf Maag,76,5300,7,24,0,1
509,Gary Rollins,77,5300,8,49,0,1
509,Ugur Sahin,56,5300,7,66,0,1
509,Mark Scheinberg,48,5300,11,35,0,1
509,Shen Guojun,59,5300,15,34,0,1
509,Chip Wilson,65,5300,15,25,0,1
509,Zhang Yong,51,5300,10,52,0,1
523,James Chambers,64,5200,1,49,0,1
523,Chen Fashu,61,5200,0,34,0,1
523,Jaran Chiaravanont,92,5200,4,13,0,1
523,Ravi Jaipuria,67,5200,10,56,0,1
523,Koon Poh Keong,60,5200,3,20,0,1
523,Li Liangbin,54,5200,3,34,0,1
523,Liang Feng,53,5200,3,34,0,1
523,Wolfgang Marguerre & family,80,5200,7,66,0,1
523,Katharine Rayner,77,5200,1,49,1,0
523,Carlos Rodriguez-Pastor,62,5200,0,50,0,1
523,Margaretta Taylor,79,5200,1,49,1,0
523,You Xiaoping,64,5200,3,34,0,1
523,Eric Yuan & family,52,5200,2,49,0,1
536,Robert Bass,74,5100,13,49,0,1
536,Alexandre Behring,55,5100,0,49,0,1
536,Chan Laiwa & family,81,5100,12,34,1,0
536,Jeff Greene,67,5100,12,49,0,1
536,Montri Jiaravanont,91,5100,4,13,0,1
536,Charles B. Johnson,89,5100,0,49,0,1
536,Elizabeth Johnson,58,5100,0,49,1,0
536,Lin Bin,54,5100,2,34,0,1
536,Hiroshi Mikitani,57,5100,15,9,0,1
536,Isaac Perlmutter,79,5100,1,49,0,1
536,Michael Pieper,76,5100,3,24,0,1
536,Issad Rebrab & family,78,5100,10,2,0,1
536,Tsai Hong-tu,69,5100,0,63,0,1
536,Richard Tsai,64,5100,0,63,0,1
536,Wang Junshi & family,73,5100,3,34,0,1
536,Wang Yanqing & family,55,5100,3,34,0,1
552,Shari Arison,64,5000,8,11,1,0
552,Alain Bouchard,73,5000,15,25,0,1
552,"Austen Cargill, II.",71,5000,10,49,0,1
552,"James Cargill, II.",72,5000,10,49,0,1
552,Ben Chestnut,47,5000,2,49,0,1
552,Wei Fang,48,5000,3,34,0,1
552,Leonid Fedun,66,5000,13,59,0,1
552,Johann Graf,75,5000,11,69,0,1
552,Huang Chulong,63,5000,12,34,0,1
552,Huang Yi,60,5000,6,34,0,1
552,Vladimir Kim,61,5000,14,21,0,1
552,Dan Kurzius,50,5000,2,49,0,1
552,Ronald Lauder,78,5000,15,49,0,1
552,Marianne Liebmann,68,5000,10,49,1,0
552,Tobi Lutke,41,5000,2,25,0,1
552,Thomas Pritzker,71,5000,0,49,0,1
552,Scott Shleifer,44,5000,0,49,0,1
552,Autry Stephens,83,5000,13,49,0,1
552,Peter Thiel,54,5000,0,49,0,1
552,Tsai Cheng-ta,72,5000,0,63,0,1
552,Hansjoerg Wyss,87,5000,7,49,0,1
552,Xiao Yongming & family,57,5000,4,34,0,1
552,Zhang Tao,49,5000,15,34,0,1
552,Daniel Ziff,50,5000,0,49,0,1
552,Dirk Ziff,58,5000,0,49,0,1
552,Robert Ziff,55,5000,0,49,0,1
579,Mat Ishbia,42,4900,0,49,0,1
